Date,Symbol,Qty,Entry,Current,P&L,P&L %,Action Taken
2026-02-04,CFLT,3,$30.45,$30.36,$-0.26,-0.3%,
2026-02-04,COOK,101,$1.02,$1.05,$+3.03,+2.9%,
2026-02-04,IPCX,9,$10.15,$10.15,$+0.00,+0.0%,
2026-02-04,ITOS,9,$10.15,$10.15,$-0.01,-0.0%,
2026-02-04,KNOW,11,$11.43,$12.20,$+8.45,+6.7%,
2026-02-04,KOPN,43,$2.36,$2.40,$+1.50,+1.5%,
2026-02-04,KRE,1,$70.81,$72.42,$+1.61,+2.3%,
2026-02-04,KSS,14,$14.34,$18.12,$+52.93,+26.4%,
2026-02-04,LGN,6,$39.49,$45.54,$+36.27,+15.3%,
2026-02-04,MMCA,4,$21.75,$22.00,$+0.98,+1.1%,
2026-02-04,PAII.U,9,$10.22,$10.26,$+0.36,+0.4%,
2026-02-04,PTNM,7,$2.20,$10.31,$+56.77,+368.6%,
2026-02-04,RGTI,3,$18.03,$16.65,$-4.14,-7.7%,
2026-02-04,SERV,10,$9.72,$9.95,$+2.28,+2.3%,
2026-02-04,SPHR,8,$70.57,$91.62,$+168.39,+29.8%,
2026-02-04,SSRM,10,$18.91,$23.66,$+47.52,+25.1%,
2026-02-04,UEC,8,$11.33,$15.83,$+36.00,+39.7%,
2026-02-04,UUUU,10.342987174,$24.17,$21.12,$-31.55,-12.6%,
2026-02-04,WULF,21,$8.99,$13.04,$+85.10,+45.1%,
2026-02-04,CFLT,3,$30.45,$30.42,$-0.09,-0.1%,
2026-02-04,COOK,101,$1.02,$1.06,$+4.04,+3.9%,
2026-02-04,IPCX,9,$10.15,$10.15,$+0.00,+0.0%,
2026-02-04,ITOS,9,$10.15,$10.15,$-0.01,-0.0%,
2026-02-04,KNOW,11,$11.43,$12.20,$+8.45,+6.7%,
2026-02-04,KOPN,43,$2.36,$2.42,$+2.79,+2.8%,
2026-02-04,KRE,1,$70.81,$72.60,$+1.79,+2.5%,
2026-02-04,KSS,14,$14.34,$18.30,$+55.45,+27.6%,
2026-02-04,LGN,6,$39.49,$45.52,$+36.15,+15.3%,
2026-02-04,MMCA,4,$21.75,$22.00,$+0.98,+1.1%,
2026-02-04,PAII.U,9,$10.22,$10.26,$+0.36,+0.4%,
2026-02-04,PTNM,7,$2.20,$10.31,$+56.77,+368.6%,
2026-02-04,RGTI,3,$18.03,$17.02,$-3.02,-5.6%,
2026-02-04,SERV,10,$9.72,$10.19,$+4.67,+4.8%,
2026-02-04,SPHR,8,$70.57,$92.42,$+174.84,+31.0%,
2026-02-04,SSRM,10,$18.91,$23.84,$+49.27,+26.1%,
2026-02-04,UEC,8,$11.33,$15.97,$+37.16,+41.0%,
2026-02-04,UUUU,10.342987174,$24.17,$21.39,$-28.75,-11.5%,
2026-02-04,WULF,21,$8.99,$13.69,$+98.64,+52.3%,
2026-02-06,2026-02-06 16:24:22,101518.99,99397.67,2121.320000000007,251.824458,18
2026-02-09,2026-02-09 13:00:05,101530.37,99397.67,2132.699999999997,263.19820400000003,18
2026-02-09,CFLT,3,$30.45,$30.58,$+0.39,+0.4%,
2026-02-09,COOK,101,$1.02,$0.85,$-16.87,-16.4%,
2026-02-09,IPCX,9,$10.15,$10.16,$+0.09,+0.1%,
2026-02-09,ITOS,9,$10.15,$10.15,$-0.01,-0.0%,
2026-02-09,KNOW,11,$11.43,$12.37,$+10.37,+8.3%,
2026-02-09,KOPN,43,$2.36,$2.36,$+0.00,+0.0%,
2026-02-09,KRE,1,$70.81,$73.42,$+2.61,+3.7%,
2026-02-09,KSS,14,$14.34,$17.53,$+44.63,+22.2%,
2026-02-09,LGN,6,$39.49,$52.01,$+75.09,+31.7%,
2026-02-09,MMCA,4,$21.75,$22.06,$+1.24,+1.4%,
2026-02-09,PAII.U,9,$10.22,$10.26,$+0.36,+0.4%,
2026-02-09,PTNM,7,$2.20,$10.31,$+56.77,+368.6%,
2026-02-09,RGTI,3,$18.03,$17.55,$-1.44,-2.7%,
2026-02-09,SERV,10,$9.72,$10.88,$+11.60,+11.9%,
2026-02-09,SPHR,2,$95.48,$94.92,$-1.12,-0.6%,
2026-02-09,SSRM,10,$18.91,$25.90,$+69.87,+36.9%,
2026-02-09,UEC,2,$11.33,$17.11,$+11.56,+51.0%,
2026-02-09,UUUU,0.342987174,$24.17,$23.10,$-0.37,-4.4%,
2026-02-10,2026-02-10 13:00:01,101536.93,99521.17,2015.7599999999948,186.17760099999998,18
2026-02-10,2026-02-10 14:03:45,101536.24,99521.17,2015.070000000007,185.31734200000002,18
2026-02-11,2026-02-11 13:00:01,101580.56,99465.4,2115.1600000000035,165.125592,19
2026-02-11,2026-02-11 13:20:23,101580.54,99465.4,2115.1399999999994,164.896476,19
