scan_date,scan_time,symbol,price_at_scan,scanner_score,float_score,momentum_score,volume_score,catalyst_score,multiday_score,vigl_bonus,vigl_match,rvol,float_shares,change_pct,volume,catalyst_text,entered,entry_date,entry_price,entry_thesis,exit_date,exit_price,hold_days,return_pct,return_dollars,outcome,notes
2026-02-09,13:23:43,RIG,5.71,125,0,0,0,0,0,0,unknown,0,0,0,180948088.0,,Yes,2026-02-10,5.345,"Pullback from yesterday +5.9% move. Earnings beat, oil sector strength, 125pts score. Entry .31, stop .52 (-15%), target .91 (+30%)",,,,,,,
2026-02-09,13:23:43,MNTS,6.44,125,0,0,0,0,0,0,unknown,0,0,0,32429007.0,,No,,,,,,,,,,
2026-02-09,13:23:43,CCHH,1.35,115,0,0,0,0,0,0,unknown,0,0,0,170110238.0,,No,,,,,,,,,,
2026-02-09,13:23:43,RIVN,14.69,110,0,0,0,0,0,0,unknown,0,0,0,31713781.0,,No,,,,,,,,,,
2026-02-09,13:23:43,TNON,0.82,105,0,0,0,0,0,0,unknown,0,0,0,45131823.0,,No,,,,,,,,,,
2026-02-09,13:23:43,BRLS,1.53,95,0,0,0,0,0,0,unknown,0,0,0,77021192.0,,No,,,,,,,,,,
2026-02-09,13:23:43,CLF,12.31,85,0,0,0,0,0,0,unknown,0,0,0,58300756.0,,No,,,,,,,,,,
2026-02-09,13:23:43,MSTX,2.67,80,0,0,0,0,0,0,unknown,0,0,0,125308274.0,,No,,,,,,,,,,
2026-02-09,13:23:43,RITR,1.23,75,0,0,0,0,0,0,unknown,0,0,0,49542703.0,,No,,,,,,,,,,
2026-02-09,13:23:43,WULF,16.65,70,0,0,0,0,0,0,unknown,0,0,0,64717415.0,,No,,,,,,,,,,
2026-02-10,12:02:46,ABP,1.8581,130,0,0,0,0,0,0,unknown,0,0,0,70406808.0,,No,,,,,,,,,,
2026-02-10,12:02:46,CNET,0.864,125,0,0,0,0,0,0,unknown,0,0,0,20173066.0,,No,,,,,,,,,,
